,Predicted Class,Class 1 Prob,Class 2 Prob,UNIQUE_ID,Protected
381,0.0,0.5788284746393104,0.4211715253606897,245192112,0
1953,0.0,0.5787327647867974,0.4212672352132026,245170509,0
2008,0.0,0.5786602273385879,0.42133977266141237,245190921,0
965,0.0,0.5785764414308322,0.42142355856916786,245261109,0
1804,0.0,0.5783656327823526,0.42163436721764724,245187622,0
530,0.0,0.5783431873372866,0.42165681266271354,245179298,0
253,0.0,0.5782369010391194,0.42176309896088077,245033630,0
22,0.0,0.5780986447701089,0.4219013552298913,245085194,0
2201,0.0,0.5780434135376347,0.4219565864623656,245033338,0
1781,0.0,0.5779723710202593,0.42202762897974067,245050553,0
283,0.0,0.5778237945890022,0.4221762054109977,245170685,0
1961,0.0,0.5777883771032961,0.4222116228967039,239474933,0
1143,0.0,0.5777574232774283,0.42224257672257187,245156612,0
1284,0.0,0.577707235812768,0.42229276418723216,232817673,0
835,0.0,0.5775168584788002,0.4224831415212,245256148,0
1413,0.0,0.5774757342929571,0.42252426570704316,245043520,0
1362,0.0,0.5774136796063716,0.42258632039362853,245166127,0
1431,0.0,0.5773220096143944,0.42267799038560555,245248001,0
1846,0.0,0.5773201747342501,0.4226798252657498,245045668,0
264,0.0,0.5772191555808455,0.4227808444191545,244163154,0
1606,0.0,0.5772096447090909,0.4227903552909092,245059583,0
1463,0.0,0.5771644752563716,0.4228355247436285,245031795,0
841,0.0,0.5770846773922431,0.4229153226077571,245047832,0
1052,0.0,0.5768701689817362,0.42312983101826396,245060592,0
885,0.0,0.5768202335040722,0.4231797664959278,232320128,0
735,0.0,0.5766957615549713,0.42330423844502896,245037526,0
2042,0.0,0.5766062900788561,0.4233937099211439,244930781,0
986,0.0,0.5765761946372274,0.4234238053627725,245122310,0
2094,0.0,0.5765701940584337,0.42342980594156665,245149971,0
1573,0.0,0.5764575409423172,0.4235424590576828,245207890,0
979,0.0,0.5764555344107,0.4235444655893002,245014647,0
1677,0.0,0.5763411178406848,0.42365888215931535,241500563,0
843,0.0,0.5762397986309482,0.42376020136905185,245075009,0
1204,0.0,0.5758861779404922,0.4241138220595079,245101449,0
805,0.0,0.5758199670930835,0.4241800329069166,245084624,0
1825,0.0,0.5757917884570987,0.4242082115429014,244985764,0
2052,0.0,0.5757196783173066,0.4242803216826935,245129377,0
2062,0.0,0.5757028254200373,0.42429717457996274,244950844,0
168,0.0,0.5756759584255091,0.42432404157449105,245051032,0
71,0.0,0.575517554215604,0.424482445784396,245059555,0
1298,0.0,0.5753756038907102,0.42462439610929,244941406,0
90,0.0,0.5750389010854995,0.4249610989145005,245160740,0
1393,0.0,0.575018960331847,0.4249810396681531,245070807,0
1433,0.0,0.5750056789880218,0.4249943210119783,245087440,0
878,0.0,0.5749497887006695,0.4250502112993304,242526305,0
1548,0.0,0.5749268865755526,0.42507311342444754,245169047,0
